157.46.160.179 - - [21/Jun/2025:01:01:28 +0500] "GET /?gad_campaignid=22678990791&gb=1&gclid=Cj0KCQjwjdTCBhCLARIsAEu8bpIQIxuEXIfGSt1CarlolZJ8SeG5XB8wn0ez6xwmtJjXXeogOX-97HMaAhQIEALw_wcB HTTP/1.1" 301 3731 "-" "Mozilla/5.0 (Linux; Android 11; Redmi Note 9 Pro Max Build/RKQ1.200826.002; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/137.0.7151.115 Mobile Safari/537.36 (Mobile; afma-sdk-a-v250505999.244410000.1)"
157.46.160.179 - - [21/Jun/2025:01:01:30 +0500] "GET /?gad_campaignid=22678990791&gb=1&gclid=Cj0KCQjwjdTCBhCLARIsAEu8bpIQIxuEXIfGSt1CarlolZJ8SeG5XB8wn0ez6xwmtJjXXeogOX-97HMaAhQIEALw_wcB HTTP/1.1" 200 35531 "-" "Mozilla/5.0 (Linux; Android 11; Redmi Note 9 Pro Max Build/RKQ1.200826.002; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/137.0.7151.115 Mobile Safari/537.36 (Mobile; afma-sdk-a-v250505999.244410000.1)"
157.46.160.179 - - [21/Jun/2025:01:01:32 +0500] "GET /?gad_campaignid=22678990791&gb=1&gclid=Cj0KCQjwjdTCBhCLARIsAEu8bpIQIxuEXIfGSt1CarlolZJ8SeG5XB8wn0ez6xwmtJjXXeogOX-97HMaAhQIEALw_wcB HTTP/1.1" 301 3731 "-" "Mozilla/5.0 (Linux; Android 11; Redmi Note 9 Pro Max Build/RKQ1.200826.002; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/137.0.7151.115 Mobile Safari/537.36 (Mobile; afma-sdk-a-v250505999.244410000.1)"
157.46.160.179 - - [21/Jun/2025:01:01:34 +0500] "GET /?gad_campaignid=22678990791&gb=1&gclid=Cj0KCQjwjdTCBhCLARIsAEu8bpIQIxuEXIfGSt1CarlolZJ8SeG5XB8wn0ez6xwmtJjXXeogOX-97HMaAhQIEALw_wcB HTTP/1.1" 200 35532 "-" "Mozilla/5.0 (Linux; Android 11; Redmi Note 9 Pro Max Build/RKQ1.200826.002; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/137.0.7151.115 Mobile Safari/537.36 (Mobile; afma-sdk-a-v250505999.244410000.1)"
176.9.65.136 - - [21/Jun/2025:01:02:08 +0500] "POST /wp-cron.php?doing_wp_cron=1750449728.7932090759277343750000 HTTP/1.1" 200 3488 "-" "WordPress/6.8.1; https://starmakerwm.com"
157.46.160.179 - - [21/Jun/2025:01:02:07 +0500] "GET /?gad_source=5&gad_campaignid=22678990791&gclid=Cj0KCQjwjdTCBhCLARIsAEu8bpIQIxuEXIfGSt1CarlolZJ8SeG5XB8wn0ez6xwmtJjXXeogOX-97HMaAhQIEALw_wcB HTTP/2.0" 301 284 "-" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Mobile Safari/537.36"
157.46.160.179 - - [21/Jun/2025:01:02:09 +0500] "GET /?gad_source=5&gad_campaignid=22678990791&gclid=Cj0KCQjwjdTCBhCLARIsAEu8bpIQIxuEXIfGSt1CarlolZJ8SeG5XB8wn0ez6xwmtJjXXeogOX-97HMaAhQIEALw_wcB HTTP/2.0" 200 31948 "-" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Mobile Safari/537.36"
157.46.160.179 - - [21/Jun/2025:01:02:11 +0500] "GET /wp-content/plugins/pagelayer/css/givecss.php?give=pagelayer-frontend.css%2Cnivo-lightbox.css%2Canimate.min.css%2Cowl.carousel.min.css%2Cowl.theme.default.min.css%2Cfont-awesome5.min.css&premium=premium-frontend.css&ver=2.0.1 HTTP/2.0" 200 46432 "https://starmakerwm.com/?gad_source=5&gad_campaignid=22678990791&gclid=Cj0KCQjwjdTCBhCLARIsAEu8bpIQIxuEXIfGSt1CarlolZJ8SeG5XB8wn0ez6xwmtJjXXeogOX-97HMaAhQIEALw_wcB" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Mobile Safari/537.36"
157.46.160.179 - - [21/Jun/2025:01:02:11 +0500] "GET /wp-includes/css/dist/block-library/style.min.css?ver=6.8.1 HTTP/2.0" 200 15399 "https://starmakerwm.com/?gad_source=5&gad_campaignid=22678990791&gclid=Cj0KCQjwjdTCBhCLARIsAEu8bpIQIxuEXIfGSt1CarlolZJ8SeG5XB8wn0ez6xwmtJjXXeogOX-97HMaAhQIEALw_wcB" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Mobile Safari/537.36"
157.46.160.179 - - [21/Jun/2025:01:02:11 +0500] "GET /wp-content/plugins/woocommerce/assets/client/blocks/woocommerce/product-filter-price-slider-style.css?ver=6.8.1 HTTP/2.0" 200 1119 "https://starmakerwm.com/?gad_source=5&gad_campaignid=22678990791&gclid=Cj0KCQjwjdTCBhCLARIsAEu8bpIQIxuEXIfGSt1CarlolZJ8SeG5XB8wn0ez6xwmtJjXXeogOX-97HMaAhQIEALw_wcB" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Mobile Safari/537.36"
157.46.160.179 - - [21/Jun/2025:01:02:11 +0500] "GET /wp-content/plugins/woocommerce/assets/client/blocks/woocommerce/add-to-cart-form-style.css?ver=6.8.1 HTTP/2.0" 200 1516 "https://starmakerwm.com/?gad_source=5&gad_campaignid=22678990791&gclid=Cj0KCQjwjdTCBhCLARIsAEu8bpIQIxuEXIfGSt1CarlolZJ8SeG5XB8wn0ez6xwmtJjXXeogOX-97HMaAhQIEALw_wcB" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Mobile Safari/537.36"
157.46.160.179 - - [21/Jun/2025:01:02:11 +0500] "GET /wp-content/plugins/woocommerce/assets/client/blocks/woocommerce/product-filters-style.css?ver=6.8.1 HTTP/2.0" 200 972 "https://starmakerwm.com/?gad_source=5&gad_campaignid=22678990791&gclid=Cj0KCQjwjdTCBhCLARIsAEu8bpIQIxuEXIfGSt1CarlolZJ8SeG5XB8wn0ez6xwmtJjXXeogOX-97HMaAhQIEALw_wcB" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Mobile Safari/537.36"
157.46.160.179 - - [21/Jun/2025:01:02:11 +0500] "GET /wp-content/plugins/woocommerce/assets/client/blocks/woocommerce/product-gallery-style.css?ver=6.8.1 HTTP/2.0" 200 2606 "https://starmakerwm.com/?gad_source=5&gad_campaignid=22678990791&gclid=Cj0KCQjwjdTCBhCLARIsAEu8bpIQIxuEXIfGSt1CarlolZJ8SeG5XB8wn0ez6xwmtJjXXeogOX-97HMaAhQIEALw_wcB" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Mobile Safari/537.36"
157.46.160.179 - - [21/Jun/2025:01:02:11 +0500] "GET /wp-content/plugins/woocommerce/assets/css/woocommerce-layout.css?ver=9.9.4 HTTP/2.0" 200 3448 "https://starmakerwm.com/?gad_source=5&gad_campaignid=22678990791&gclid=Cj0KCQjwjdTCBhCLARIsAEu8bpIQIxuEXIfGSt1CarlolZJ8SeG5XB8wn0ez6xwmtJjXXeogOX-97HMaAhQIEALw_wcB" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Mobile Safari/537.36"
157.46.160.179 - - [21/Jun/2025:01:02:11 +0500] "GET /wp-content/plugins/woocommerce/assets/css/brands.css?ver=9.9.4 HTTP/2.0" 200 718 "https://starmakerwm.com/?gad_source=5&gad_campaignid=22678990791&gclid=Cj0KCQjwjdTCBhCLARIsAEu8bpIQIxuEXIfGSt1CarlolZJ8SeG5XB8wn0ez6xwmtJjXXeogOX-97HMaAhQIEALw_wcB" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Mobile Safari/537.36"
